Pattern,Line,SourceFile
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176981119:Date: Fri, 26 Apr 2024 11:16:30 -0400",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176981336:Date: Fri, 26 Apr 2024 13:02:50 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176982704:Date: Fri, 26 Apr 2024 02:40:31 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176984186:Date: Thu, 25 Apr 2024 16:26:49 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176984434:Date: Thu, 25 Apr 2024 15:43:44 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176984643:Date: Thu, 25 Apr 2024 16:54:28 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176986699:Date: Fri, 26 Apr 2024 05:41:51 -0600",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176987698:Date: Thu, 25 Apr 2024 11:17:21 +0100 (BST)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176987828:Date: Fri, 26 Apr 2024 10:05:00 +0000 (UTC)",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176989079:Date: Thu, 25 Apr 2024 22:30:40 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
^Date: .*(19|20|21|22|23|24|25|26) Apr 2024,"176991233:Date: Thu, 25 Apr 2024 17:28:52 +0000",C:\Users\thoma\Documents\Cyber Crimes Tools\All mail Including Spam and Trash-002.mbox
