Start,End,Duration,Number of events,Services involved
2024-04-24 08:57:56,2024-04-24 09:02:33,0:04:37,20,YouTube
2024-04-24 08:58:24,2024-04-24 09:03:20,0:04:56,22,YouTube
2024-04-24 08:58:25,2024-04-24 09:03:20,0:04:55,21,YouTube
2024-04-24 08:58:37,2024-04-24 09:03:30,0:04:53,22,YouTube
2024-04-24 08:58:42,2024-04-24 09:03:30,0:04:48,21,YouTube
2024-04-24 08:58:59,2024-04-24 09:03:45,0:04:46,21,YouTube
2024-04-24 08:59:17,2024-04-24 09:03:45,0:04:28,20,YouTube
2024-04-24 08:59:20,2024-04-24 09:04:20,0:05:00,21,YouTube
2024-04-24 08:59:45,2024-04-24 09:04:22,0:04:37,21,YouTube
2024-04-24 09:00:17,2024-04-24 09:04:59,0:04:42,24,YouTube
2024-04-24 09:00:19,2024-04-24 09:04:59,0:04:40,23,YouTube
2024-04-24 09:00:32,2024-04-24 09:04:59,0:04:27,22,YouTube
2024-04-24 09:01:35,2024-04-24 09:06:14,0:04:39,23,YouTube
2024-04-24 09:01:36,2024-04-24 09:06:14,0:04:38,22,YouTube
2024-04-24 09:01:57,2024-04-24 09:06:14,0:04:17,21,YouTube
2024-04-24 09:02:00,2024-04-24 09:06:14,0:04:14,20,YouTube
2024-04-24 09:02:20,2024-04-24 09:07:19,0:04:59,20,YouTube
2024-04-24 09:02:22,2024-04-24 09:07:19,0:04:57,19,YouTube
2024-04-24 09:02:23,2024-04-24 09:07:19,0:04:56,18,YouTube
2024-04-24 09:02:33,2024-04-24 09:07:30,0:04:57,18,YouTube
2024-04-24 09:03:00,2024-04-24 09:07:59,0:04:59,18,YouTube
2024-04-24 09:03:18,2024-04-24 09:08:16,0:04:58,21,YouTube
2024-04-24 09:03:20,2024-04-24 09:08:16,0:04:56,20,YouTube
2024-04-24 09:03:28,2024-04-24 09:08:16,0:04:48,19,YouTube
2024-04-24 09:03:30,2024-04-24 09:08:29,0:04:59,19,YouTube
2024-04-24 09:03:45,2024-04-24 09:08:29,0:04:44,18,YouTube
2024-04-24 09:04:18,2024-04-24 09:08:29,0:04:11,17,YouTube
2024-04-24 09:04:20,2024-04-24 09:08:29,0:04:09,16,YouTube
2024-04-24 09:04:22,2024-04-24 09:08:29,0:04:07,15,YouTube
